Publication_Date,Job_type,company_name,locations,Job_name
2022-12-01T23:35:08Z,external,Siemens,"Shanghai, China",Science and Engineering
2023-02-10T23:37:45Z,external,Siemens,"Spartanburg, SC",Software Engineering
2023-01-16T23:32:31Z,external,Siemens,"Fremont, CA",Sales
2023-01-28T23:37:48Z,external,Siemens,"Igualada, Spain",Software Engineering
2023-01-10T23:40:12Z,external,Siemens,"Munich, Germany",Unknown
2023-02-27T19:27:46Z,external,SpaceX,"El Segundo, CA",Farming and Outdoors
2023-02-21T23:36:07Z,external,Siemens,"Norwood, MA",Science and Engineering
2023-01-31T23:39:28Z,external,Siemens,"NÃ¼rnberg, Germany",Manufacturing and Warehouse
2023-03-03T23:46:44Z,external,Siemens,"Midrand, South Africa",Software Engineering
2023-01-28T23:37:48Z,external,Siemens,"Grand Prairie, TX",Unknown
2023-01-28T23:37:17Z,external,Siemens,"Shelbyville, TN",Data and Analytics
2023-03-01T23:07:14Z,external,SpaceX,"El Segundo, CA",Business Operations
2023-01-25T23:38:15Z,external,Siemens,"Casper, WY",Education
2023-03-02T23:45:04Z,external,Siemens,"Hartford, CT",Software Engineering
2023-01-04T23:36:14Z,external,Siemens,"Cadillac, MI",Science and Engineering
2023-03-04T23:40:05Z,external,Siemens,"Edmonton, Canada",Unknown
2023-02-21T23:35:08Z,external,Siemens,"Magdeburg, Germany",Sales
2023-02-03T23:37:04Z,external,Siemens,"Tokyo, Japan",Account Management
2023-02-08T23:39:23Z,external,Siemens,"Mckeesport, PA",Business Operations
2023-01-06T23:38:09Z,external,Siemens,"Dalian, China",Software Engineering
